"Id","MaCoSo","TenCoSo","Latitude","Longitude","DiaChi"
1,A,Sai Gon Campus,10.801582,106.71446,"475A Điện Biên Phủ, Phường Thạnh Mỹ Tây, TP.HCM"
2,B,Sai Gon Campus,10.801582,106.71446,"475A Điện Biên Phủ, Phường Thạnh Mỹ Tây, TP.HCM"
3,C,Sai Gon Campus,10.801582,106.71446,"475A Điện Biên Phủ, Phường Thạnh Mỹ Tây, TP.HCM"
4,U,Ung Van Khiem Campus,10.809627,106.714976,"31/36 Ung Văn Khiêm, Phường Thạnh Mỹ Tây, TP.HCM"
5,E,Thu Duc Campus,10.855053,106.785318,"Phân khu đào tạo E1, Khu Công Nghệ cao TP.HCM, Phường Tăng Nhơn Phú, TP.HCM"
6,R,Hitech Park Campus	,10.840888,106.808878,"Viện Công nghệ Cao Hutech, Lô E2B4, đường D1, Phường Long Thạnh Mỹ, khu Công Nghệ Cao, TP.HCM"
